,id,star_names,distance,mass,radius,gravity
0,0,54 Piscium,36.1,5.446439,0.000762421205195994,0.0006183959630695296
1,1,81 Cancri,66.0,0.102763,0.000954588,7.443012847524135e-06
2,2,AB Pictoris,66.6,1.3873004999999998,0.000954588,0.00010048067344157581
3,3,CD−33°7795,163.08,2.0552599999999996,0.000954588,0.00014886025695048268
4,4,CT Chamaeleontis,538.0,1.7469709999999998,0.0021000936,2.614281372064262e-05
5,5,Eta Coronae Borealis,58.3,6.474068999999999,0.000954588,0.0004689098093940205
6,6,G 196-3,50.2,2.5690749999999998,0.000954588,0.00018607532118810336
7,7,GD 165,103.0,0.102763,0.000954588,7.443012847524135e-06
8,8,Gliese 570,19.0,5.343675999999999,0.000954588,0.000387036668071255
9,9,GU Piscium,155.3,1.130393,0.000954588,8.18731413227655e-05
10,10,HD 89744,126.2,0.102763,0.000954588,7.443012847524135e-06
11,11,HD 100546,337.25,2.0552599999999996,0.000954588,0.00014886025695048268
12,12,HN Pegasi,58.3,2.877364,0.00096413388,0.00020429797052316028
13,13,LHS 4040[es],1.0,0.102763,0.000954588,7.443012847524135e-06
14,14,UScoCTIO 108,473.0,1.438682,0.000954588,0.00010420217986533789
15,15,WD 0137-349,330.0,5.446439,0.000954588,0.0003944796809187792
16,16,HD 41004 B,139.0,1.8908391999999998,0.000954588,0.00013695143639444408
17,17,HD 149382,241.0,1.5928265,0.000954588,0.00011536669913662409
18,18,CoRoT-15,,6.5151742,0.0010691385600000002,0.00037618543888156094
19,19,Xi Ursae Majoris B,25.11,3.802231,0.000954588,0.000275391475358393
20,20,Upsilon Andromedae,43.9,1.43662674,0.000954588,0.0001040533196083874
21,21,Gliese 758,51.9,2.363549,0.000954588,0.0001711892954930551
22,22,HD 112758,53.81,3.5967049999999996,0.000954588,0.0002605054496633447
23,23,BD−04°782,66.6,2.158023,0.000954588,0.00015630326979800685
24,24,HD 110833,55.44,1.7469709999999998,0.000954588,0.00012653121840791029
25,25,HD 89707,81.54,5.549201999999999,0.000954588,0.00040192269376630323
26,26,Tau Geminorum,302.0,1.8600103000000001,0.000954588,0.00013471853254018684
27,27,HAT-P-13,698.0,1.5619975999999998,0.000954588,0.00011313379528236683
28,28,HD 217580,58.7,6.16578,0.000954588,0.00044658077085144807
29,29,HD 16760,163.0,1.4695109,0.000954588,0.00010643508371959513
30,30,HD 13189,603.4,1.438682,0.000954588,0.00010420217986533789
31,31,HD 18445,83.92,4.007757,0.000954588,0.0002902775010534412
32,32,HD 8673,124.75,1.438682,0.000954588,0.00010420217986533789
33,33,NGC 4349-127,7097.0,2.0347074,0.000954588,0.00014737165438097788
34,34,Gliese 569,31.5,11.920508,0.000954588,0.0008633894903127997
35,35,HD 29587,146.77,4.110519999999999,0.000954588,0.00029772051390096536
36,36,ChaHα8,522.0,1.8497339999999998,0.000954588,0.00013397423125543443
37,37,CoRoT-20,4000.0,1.7469709999999998,0.000954588,0.00012653121840791029
38,38,HD 168443,123.5,3.4939419999999997,0.000954588,0.00025306243681582057
39,39,HD 38529 A,138.0,3.802231,0.000954588,0.000275391475358393
40,40,Epsilon Indi,11.8,2.877364,0.000954588,0.00020840435973067578
41,41,HW Virginis,590.0,1.97613249,0.000954588,0.0001431291370578891
42,42,DT Virginis,37.55,1.2845374999999999,0.0010500468,7.689062859012535e-05
43,43,HD 4113,136.0,6.16578,0.000954588,0.00044658077085144807
44,44,Gliese 229,19.0,4.110519999999999,0.000954588,0.00029772051390096536
45,45,TYC 9486-927-1,111.0,1.3667479,0.000954588,9.8992070872071e-05
46,46,Epsilon Indi,11.8,4.829860999999999,0.000954588,0.0003498216038336343
47,47,HD 131664,180.8,1.8651484499999997,0.000954588,0.00013509068318256302
48,48,HD 136118,171.0,4.316046,0.000954588,0.0003126065395960137
49,49,HD 140913,156.42,4.727098,0.000954588,0.0003423785909861102
50,50,GQ Lupi b,400.0,4.316046,0.0017182584,9.648349987531287e-05
51,51,HD 162020,101.95,1.541445,0.000954588,0.00011164519271286202
52,52,Nu Ophiuchi,152.8,2.2505097,0.000954588,0.00016300198136077855
53,53,HD 164427,127.52,4.727098,0.000954588,0.0003423785909861102
54,54,SCR 1845-6357,12.57,4.624334999999999,0.000954588,0.000334935578138586
55,55,COROT-3,2220.0,2.22584658,0.00096413388,0.00015803907291184468
56,56,15 Sagittae,57.7,6.679595,0.000954588,0.0004837958350890688
57,57,Zeta Delphini,220.0,5.651965,0.000954588,0.0004093657066138274
58,58,HD 202206,151.14,1.7880761999999997,0.000954588,0.00012950842354691994
